state,district,year,crop,session,area,production,yield,yield_num
6. Chhattisgarh,1. Balod,2021 - 2022,Banana,Whole Year,52.00,891.00,17.13,17.13
6. Chhattisgarh,1. Balod,2021 - 2022,Dry chillies,Whole Year,1.00,1.00,1.00,1.0
6. Chhattisgarh,1. Balod,2021 - 2022,Ginger,Whole Year,3.00,5.00,1.67,1.67
6. Chhattisgarh,1. Balod,2021 - 2022,Turmeric,Whole Year,2.00,3.00,1.50,1.5
6. Chhattisgarh,1. Balod,2021 - 2022,Sugarcane,Whole Year,430.00,"6,930.00",16.12,16.12
6. Chhattisgarh,1. Balod,2021 - 2022,Onion,Whole Year,1.00,8.00,8.00,8.0
6. Chhattisgarh,1. Balod,2021 - 2022,Coriander,Whole Year,104.00,28.00,0.27,0.27
6. Chhattisgarh,1. Balod,2021 - 2022,Cotton(lint),Whole Year,5.00,7.00,1.40,1.4
6. Chhattisgarh,1. Balod,2022 - 2023,Banana,Whole Year,55.00,601.00,10.93,10.93
6. Chhattisgarh,1. Balod,2022 - 2023,Dry chillies,Whole Year,3.00,3.00,1.00,1.0
6. Chhattisgarh,1. Balod,2022 - 2023,Turmeric,Whole Year,4.00,6.00,1.50,1.5
6. Chhattisgarh,1. Balod,2022 - 2023,Sugarcane,Whole Year,713.00,"2,098.00",2.94,2.94
6. Chhattisgarh,1. Balod,2022 - 2023,Sweet potato,Whole Year,1.00,8.00,8.00,8.0
6. Chhattisgarh,1. Balod,2022 - 2023,Coriander,Whole Year,118.00,32.00,0.27,0.27
6. Chhattisgarh,1. Balod,2022 - 2023,Cotton(lint),Whole Year,7.00,16.00,2.29,2.29
6. Chhattisgarh,1. Balod,2022 - 2023,Sunflower,Whole Year,6.00,5.00,0.83,0.83
6. Chhattisgarh,2. Baloda bazar,2020 - 2021,Banana,Whole Year,25.00,666.00,26.64,26.64
6. Chhattisgarh,2. Baloda bazar,2020 - 2021,Dry chillies,Whole Year,273.00,139.00,0.51,0.51
6. Chhattisgarh,2. Baloda bazar,2020 - 2021,Ginger,Whole Year,17.00,22.00,1.29,1.29
6. Chhattisgarh,2. Baloda bazar,2020 - 2021,Turmeric,Whole Year,29.00,44.00,1.52,1.52
6. Chhattisgarh,2. Baloda bazar,2020 - 2021,Sugarcane,Whole Year,71.00,30.00,0.42,0.42
6. Chhattisgarh,2. Baloda bazar,2020 - 2021,Onion,Whole Year,372.00,"1,588.00",4.27,4.27
6. Chhattisgarh,2. Baloda bazar,2020 - 2021,Sweet potato,Whole Year,28.00,206.00,7.36,7.36
6. Chhattisgarh,2. Baloda bazar,2020 - 2021,Coriander,Whole Year,176.00,65.00,0.37,0.37
6. Chhattisgarh,2. Baloda bazar,2020 - 2021,Cotton(lint),Whole Year,156.00,296.00,1.90,1.9
6. Chhattisgarh,2. Baloda bazar,2020 - 2021,Jowar,Whole Year,2.00,2.00,1.00,1.0
6. Chhattisgarh,2. Baloda bazar,2020 - 2021,Sunflower,Whole Year,2.00,1.00,0.50,0.5
6. Chhattisgarh,2. Baloda bazar,2021 - 2022,Banana,Whole Year,84.00,"1,939.00",23.08,23.08
6. Chhattisgarh,2. Baloda bazar,2021 - 2022,Dry chillies,Whole Year,177.00,112.00,0.63,0.63
6. Chhattisgarh,2. Baloda bazar,2021 - 2022,Ginger,Whole Year,17.00,20.00,1.18,1.18
6. Chhattisgarh,2. Baloda bazar,2021 - 2022,Turmeric,Whole Year,48.00,80.00,1.67,1.67
6. Chhattisgarh,2. Baloda bazar,2021 - 2022,Sugarcane,Whole Year,58.00,0.00,0.00,0.0
6. Chhattisgarh,2. Baloda bazar,2021 - 2022,Onion,Whole Year,83.00,520.00,6.27,6.27
6. Chhattisgarh,2. Baloda bazar,2021 - 2022,Sweet potato,Whole Year,22.00,162.00,7.36,7.36
6. Chhattisgarh,2. Baloda bazar,2021 - 2022,Coriander,Whole Year,30.00,12.00,0.40,0.4
6. Chhattisgarh,2. Baloda bazar,2021 - 2022,Cotton(lint),Whole Year,42.00,70.00,1.67,1.67
6. Chhattisgarh,2. Baloda bazar,2021 - 2022,Jowar,Whole Year,3.00,2.00,0.67,0.67
6. Chhattisgarh,2. Baloda bazar,2021 - 2022,Sunflower,Whole Year,12.00,6.00,0.50,0.5
6. Chhattisgarh,2. Baloda bazar,2022 - 2023,Banana,Whole Year,62.00,"1,226.00",19.77,19.77
6. Chhattisgarh,2. Baloda bazar,2022 - 2023,Dry chillies,Whole Year,145.00,113.00,0.78,0.78
6. Chhattisgarh,2. Baloda bazar,2022 - 2023,Ginger,Whole Year,12.00,22.00,1.83,1.83
6. Chhattisgarh,2. Baloda bazar,2022 - 2023,Turmeric,Whole Year,40.00,64.00,1.60,1.6
6. Chhattisgarh,2. Baloda bazar,2022 - 2023,Sugarcane,Whole Year,53.00,90.00,1.70,1.7
6. Chhattisgarh,2. Baloda bazar,2022 - 2023,Onion,Whole Year,49.00,370.00,7.55,7.55
6. Chhattisgarh,2. Baloda bazar,2022 - 2023,Sweet potato,Whole Year,21.00,0.00,0.00,0.0
6. Chhattisgarh,2. Baloda bazar,2022 - 2023,Tobacco,Whole Year,1.00,1.00,1.00,1.0
6. Chhattisgarh,2. Baloda bazar,2022 - 2023,Coriander,Whole Year,13.00,5.00,0.38,0.38
6. Chhattisgarh,2. Baloda bazar,2022 - 2023,Cotton(lint),Whole Year,193.00,93.00,0.48,0.48
6. Chhattisgarh,2. Baloda bazar,2022 - 2023,Jowar,Whole Year,66.00,81.00,1.23,1.23
6. Chhattisgarh,3. Balrampur,2020 - 2021,Banana,Whole Year,2.00,39.00,19.50,19.5
6. Chhattisgarh,3. Balrampur,2020 - 2021,Dry chillies,Whole Year,392.00,226.00,0.58,0.58
6. Chhattisgarh,3. Balrampur,2020 - 2021,Ginger,Whole Year,58.00,69.00,1.19,1.19
6. Chhattisgarh,3. Balrampur,2020 - 2021,Turmeric,Whole Year,77.00,99.00,1.29,1.29
6. Chhattisgarh,3. Balrampur,2020 - 2021,Sugarcane,Whole Year,"2,157.00","24,970.00",11.58,11.58
6. Chhattisgarh,3. Balrampur,2020 - 2021,Onion,Whole Year,648.00,"2,755.00",4.25,4.25
6. Chhattisgarh,3. Balrampur,2020 - 2021,Sweet potato,Whole Year,330.00,"1,794.00",5.44,5.44
6. Chhattisgarh,3. Balrampur,2020 - 2021,Tobacco,Whole Year,2.00,1.00,0.50,0.5
6. Chhattisgarh,3. Balrampur,2020 - 2021,Coriander,Whole Year,158.00,34.00,0.22,0.22
6. Chhattisgarh,3. Balrampur,2020 - 2021,Garlic,Whole Year,237.00,595.00,2.51,2.51
6. Chhattisgarh,3. Balrampur,2020 - 2021,Jowar,Whole Year,186.00,240.00,1.29,1.29
6. Chhattisgarh,3. Balrampur,2020 - 2021,Sunflower,Whole Year,7.00,2.00,0.29,0.29
6. Chhattisgarh,3. Balrampur,2021 - 2022,Banana,Whole Year,2.00,26.00,13.00,13.0
6. Chhattisgarh,3. Balrampur,2021 - 2022,Dry chillies,Whole Year,356.00,231.00,0.65,0.65
6. Chhattisgarh,3. Balrampur,2021 - 2022,Ginger,Whole Year,48.00,54.00,1.13,1.13
6. Chhattisgarh,3. Balrampur,2021 - 2022,Turmeric,Whole Year,56.00,72.00,1.29,1.29
6. Chhattisgarh,3. Balrampur,2021 - 2022,Sugarcane,Whole Year,"1,167.00","14,030.00",12.02,12.02
6. Chhattisgarh,3. Balrampur,2021 - 2022,Onion,Whole Year,654.00,"3,539.00",5.41,5.41
6. Chhattisgarh,3. Balrampur,2021 - 2022,Sweet potato,Whole Year,235.00,"1,192.00",5.07,5.07
6. Chhattisgarh,3. Balrampur,2021 - 2022,Tobacco,Whole Year,2.00,1.00,0.50,0.5
6. Chhattisgarh,3. Balrampur,2021 - 2022,Coriander,Whole Year,61.00,12.00,0.20,0.2
6. Chhattisgarh,3. Balrampur,2021 - 2022,Garlic,Whole Year,229.00,536.00,2.34,2.34
6. Chhattisgarh,3. Balrampur,2021 - 2022,Jowar,Whole Year,84.00,59.00,0.70,0.7
6. Chhattisgarh,3. Balrampur,2021 - 2022,Sunflower,Whole Year,10.00,4.00,0.40,0.4
6. Chhattisgarh,3. Balrampur,2022 - 2023,Banana,Whole Year,1.00,0.00,0.00,0.0
6. Chhattisgarh,3. Balrampur,2022 - 2023,Dry chillies,Whole Year,339.00,227.00,0.67,0.67
6. Chhattisgarh,3. Balrampur,2022 - 2023,Ginger,Whole Year,34.00,35.00,1.03,1.03
6. Chhattisgarh,3. Balrampur,2022 - 2023,Turmeric,Whole Year,15.00,12.00,0.80,0.8
6. Chhattisgarh,3. Balrampur,2022 - 2023,Sugarcane,Whole Year,"1,109.00","1,294.00",1.17,1.17
6. Chhattisgarh,3. Balrampur,2022 - 2023,Onion,Whole Year,85.00,594.00,6.99,6.99
6. Chhattisgarh,3. Balrampur,2022 - 2023,Sweet potato,Whole Year,158.00,845.00,5.35,5.35
6. Chhattisgarh,3. Balrampur,2022 - 2023,Tobacco,Whole Year,1.00,1.00,1.00,1.0
6. Chhattisgarh,3. Balrampur,2022 - 2023,Coriander,Whole Year,8.00,2.00,0.25,0.25
6. Chhattisgarh,3. Balrampur,2022 - 2023,Garlic,Whole Year,19.00,47.00,2.47,2.47
6. Chhattisgarh,3. Balrampur,2022 - 2023,Jowar,Whole Year,9.00,11.00,1.22,1.22
6. Chhattisgarh,3. Balrampur,2022 - 2023,Sunflower,Whole Year,7.00,3.00,0.43,0.43
6. Chhattisgarh,4. Bastar,2020 - 2021,Banana,Whole Year,57.00,"1,390.00",24.39,24.39
6. Chhattisgarh,4. Bastar,2020 - 2021,Dry chillies,Whole Year,815.00,302.00,0.37,0.37
6. Chhattisgarh,4. Bastar,2020 - 2021,Ginger,Whole Year,20.00,24.00,1.20,1.2
6. Chhattisgarh,4. Bastar,2020 - 2021,Turmeric,Whole Year,45.00,31.00,0.69,0.69
6. Chhattisgarh,4. Bastar,2020 - 2021,Sugarcane,Whole Year,454.00,"9,050.00",19.93,19.93
6. Chhattisgarh,4. Bastar,2020 - 2021,Onion,Whole Year,81.00,353.00,4.36,4.36
6. Chhattisgarh,4. Bastar,2020 - 2021,Sweet potato,Whole Year,57.00,272.00,4.77,4.77
6. Chhattisgarh,4. Bastar,2020 - 2021,Tobacco,Whole Year,33.00,17.00,0.52,0.52
6. Chhattisgarh,4. Bastar,2020 - 2021,Coriander,Whole Year,5.00,1.00,0.20,0.2
6. Chhattisgarh,4. Bastar,2020 - 2021,Jowar,Whole Year,47.00,80.00,1.70,1.7
6. Chhattisgarh,4. Bastar,2020 - 2021,Sunflower,Whole Year,15.00,5.00,0.33,0.33
6. Chhattisgarh,4. Bastar,2020 - 2021,Cashewnut,Whole Year,"1,048.00",0.00,0.00,0.0
6. Chhattisgarh,4. Bastar,2021 - 2022,Banana,Whole Year,79.00,866.00,10.96,10.96
6. Chhattisgarh,4. Bastar,2021 - 2022,Dry chillies,Whole Year,752.00,325.00,0.43,0.43
6. Chhattisgarh,4. Bastar,2021 - 2022,Ginger,Whole Year,15.00,17.00,1.13,1.13
6. Chhattisgarh,4. Bastar,2021 - 2022,Turmeric,Whole Year,42.00,29.00,0.69,0.69
6. Chhattisgarh,4. Bastar,2021 - 2022,Sugarcane,Whole Year,414.00,"6,630.00",16.01,16.01
6. Chhattisgarh,4. Bastar,2021 - 2022,Onion,Whole Year,60.00,372.00,6.20,6.2
6. Chhattisgarh,4. Bastar,2021 - 2022,Sweet potato,Whole Year,45.00,231.00,5.13,5.13
6. Chhattisgarh,4. Bastar,2021 - 2022,Tobacco,Whole Year,33.00,19.00,0.58,0.58
6. Chhattisgarh,4. Bastar,2021 - 2022,Coriander,Whole Year,7.00,2.00,0.29,0.29
6. Chhattisgarh,4. Bastar,2021 - 2022,Jowar,Whole Year,32.00,25.00,0.78,0.78
6. Chhattisgarh,4. Bastar,2021 - 2022,Sunflower,Whole Year,10.00,4.00,0.40,0.4
6. Chhattisgarh,4. Bastar,2021 - 2022,Cashewnut,Whole Year,965.00,0.00,0.00,0.0
6. Chhattisgarh,4. Bastar,2022 - 2023,Banana,Whole Year,76.00,"1,930.00",25.39,25.39
6. Chhattisgarh,4. Bastar,2022 - 2023,Dry chillies,Whole Year,600.00,324.00,0.54,0.54
6. Chhattisgarh,4. Bastar,2022 - 2023,Ginger,Whole Year,19.00,19.00,1.00,1.0
6. Chhattisgarh,4. Bastar,2022 - 2023,Turmeric,Whole Year,44.00,31.00,0.70,0.7
6. Chhattisgarh,4. Bastar,2022 - 2023,Sugarcane,Whole Year,399.00,767.00,1.92,1.92
6. Chhattisgarh,4. Bastar,2022 - 2023,Onion,Whole Year,55.00,420.00,7.64,7.64
6. Chhattisgarh,4. Bastar,2022 - 2023,Sweet potato,Whole Year,33.00,187.00,5.67,5.67
6. Chhattisgarh,4. Bastar,2022 - 2023,Tobacco,Whole Year,15.00,9.00,0.60,0.6
6. Chhattisgarh,4. Bastar,2022 - 2023,Coriander,Whole Year,7.00,2.00,0.29,0.29
6. Chhattisgarh,4. Bastar,2022 - 2023,Jowar,Whole Year,20.00,29.00,1.45,1.45
6. Chhattisgarh,4. Bastar,2022 - 2023,Sunflower,Whole Year,12.00,4.00,0.33,0.33
6. Chhattisgarh,5. Bemetara,2020 - 2021,Banana,Whole Year,724.00,"16,671.00",23.03,23.03
6. Chhattisgarh,5. Bemetara,2020 - 2021,Dry chillies,Whole Year,160.00,134.00,0.84,0.84
6. Chhattisgarh,5. Bemetara,2020 - 2021,Ginger,Whole Year,72.00,98.00,1.36,1.36
6. Chhattisgarh,5. Bemetara,2020 - 2021,Turmeric,Whole Year,180.00,482.00,2.68,2.68
6. Chhattisgarh,5. Bemetara,2020 - 2021,Sugarcane,Whole Year,"3,672.00","105,730.00",28.79,28.79
6. Chhattisgarh,5. Bemetara,2020 - 2021,Onion,Whole Year,85.00,316.00,3.72,3.72
6. Chhattisgarh,5. Bemetara,2020 - 2021,Sweet potato,Whole Year,11.00,69.00,6.27,6.27
6. Chhattisgarh,5. Bemetara,2020 - 2021,Coriander,Whole Year,202.00,60.00,0.30,0.3
6. Chhattisgarh,5. Bemetara,2020 - 2021,Cotton(lint),Whole Year,"1,894.00","3,288.00",1.74,1.74
6. Chhattisgarh,5. Bemetara,2020 - 2021,Jowar,Whole Year,2.00,2.00,1.00,1.0
6. Chhattisgarh,5. Bemetara,2020 - 2021,Sunflower,Whole Year,8.00,7.00,0.88,0.88
6. Chhattisgarh,5. Bemetara,2021 - 2022,Banana,Whole Year,724.00,"3,104.00",4.29,4.29
6. Chhattisgarh,5. Bemetara,2021 - 2022,Dry chillies,Whole Year,349.00,311.00,0.89,0.89
6. Chhattisgarh,5. Bemetara,2021 - 2022,Ginger,Whole Year,68.00,92.00,1.35,1.35
6. Chhattisgarh,5. Bemetara,2021 - 2022,Turmeric,Whole Year,152.00,407.00,2.68,2.68
6. Chhattisgarh,5. Bemetara,2021 - 2022,Sugarcane,Whole Year,"4,018.00","90,780.00",22.59,22.59
6. Chhattisgarh,5. Bemetara,2021 - 2022,Onion,Whole Year,134.00,692.00,5.16,5.16
6. Chhattisgarh,5. Bemetara,2021 - 2022,Sweet potato,Whole Year,46.00,267.00,5.80,5.8
6. Chhattisgarh,5. Bemetara,2021 - 2022,Coriander,Whole Year,520.00,167.00,0.32,0.32
6. Chhattisgarh,5. Bemetara,2021 - 2022,Garlic,Whole Year,1.00,4.00,4.00,4.0
6. Chhattisgarh,5. Bemetara,2021 - 2022,Cotton(lint),Whole Year,"1,754.00","3,046.00",1.74,1.74
6. Chhattisgarh,5. Bemetara,2021 - 2022,Jowar,Whole Year,7.00,0.00,0.00,0.0
6. Chhattisgarh,5. Bemetara,2021 - 2022,Sunflower,Whole Year,8.00,7.00,0.88,0.88
6. Chhattisgarh,5. Bemetara,2022 - 2023,Banana,Whole Year,637.00,"9,297.00",14.59,14.59
6. Chhattisgarh,5. Bemetara,2022 - 2023,Dry chillies,Whole Year,280.00,281.00,1.00,1.0
6. Chhattisgarh,5. Bemetara,2022 - 2023,Ginger,Whole Year,32.00,40.00,1.25,1.25
6. Chhattisgarh,5. Bemetara,2022 - 2023,Turmeric,Whole Year,98.00,237.00,2.42,2.42
6. Chhattisgarh,5. Bemetara,2022 - 2023,Sugarcane,Whole Year,"4,092.00","10,609.00",2.59,2.59
6. Chhattisgarh,5. Bemetara,2022 - 2023,Onion,Whole Year,106.00,630.00,5.94,5.94
6. Chhattisgarh,5. Bemetara,2022 - 2023,Sweet potato,Whole Year,25.00,150.00,6.00,6.0
6. Chhattisgarh,5. Bemetara,2022 - 2023,Coriander,Whole Year,638.00,204.00,0.32,0.32
6. Chhattisgarh,5. Bemetara,2022 - 2023,Cotton(lint),Whole Year,"3,639.00","2,257.00",0.62,0.62
6. Chhattisgarh,5. Bemetara,2022 - 2023,Jowar,Whole Year,39.00,46.00,1.18,1.18
6. Chhattisgarh,5. Bemetara,2022 - 2023,Sunflower,Whole Year,1.00,1.00,1.00,1.0
6. Chhattisgarh,6. Bijapur,2020 - 2021,Banana,Whole Year,2.00,111.00,55.50,55.5
6. Chhattisgarh,6. Bijapur,2020 - 2021,Coconut,Whole Year,21.00,0.00,0.00,0.0
6. Chhattisgarh,6. Bijapur,2020 - 2021,Dry chillies,Whole Year,21.00,14.00,0.67,0.67
6. Chhattisgarh,6. Bijapur,2020 - 2021,Turmeric,Whole Year,3.00,3.00,1.00,1.0
6. Chhattisgarh,6. Bijapur,2020 - 2021,Sweet potato,Whole Year,5.00,36.00,7.20,7.2
6. Chhattisgarh,6. Bijapur,2020 - 2021,Cotton(lint),Whole Year,2.00,2.00,1.00,1.0
6. Chhattisgarh,6. Bijapur,2020 - 2021,Jowar,Whole Year,150.00,40.00,0.27,0.27
6. Chhattisgarh,6. Bijapur,2021 - 2022,Banana,Whole Year,1.00,0.00,0.00,0.0
6. Chhattisgarh,6. Bijapur,2021 - 2022,Coconut,Whole Year,21.00,0.00,0.00,0.0
6. Chhattisgarh,6. Bijapur,2021 - 2022,Dry chillies,Whole Year,33.00,14.00,0.42,0.42
6. Chhattisgarh,6. Bijapur,2021 - 2022,Turmeric,Whole Year,6.00,7.00,1.17,1.17
6. Chhattisgarh,6. Bijapur,2021 - 2022,Onion,Whole Year,1.00,10.00,10.00,10.0
6. Chhattisgarh,6. Bijapur,2021 - 2022,Sweet potato,Whole Year,9.00,65.00,7.22,7.22
6. Chhattisgarh,6. Bijapur,2021 - 2022,Cotton(lint),Whole Year,2.00,0.00,0.00,0.0
6. Chhattisgarh,6. Bijapur,2021 - 2022,Jowar,Whole Year,113.00,11.00,0.10,0.1
6. Chhattisgarh,6. Bijapur,2022 - 2023,Banana,Whole Year,1.00,55.00,55.00,55.0
6. Chhattisgarh,6. Bijapur,2022 - 2023,Dry chillies,Whole Year,25.00,10.00,0.40,0.4
6. Chhattisgarh,6. Bijapur,2022 - 2023,Ginger,Whole Year,1.00,2.00,2.00,2.0
6. Chhattisgarh,6. Bijapur,2022 - 2023,Turmeric,Whole Year,3.00,4.00,1.33,1.33
6. Chhattisgarh,6. Bijapur,2022 - 2023,Sweet potato,Whole Year,6.00,31.00,5.17,5.17
6. Chhattisgarh,6. Bijapur,2022 - 2023,Jowar,Whole Year,62.00,18.00,0.29,0.29
6. Chhattisgarh,7. Bilaspur,2020 - 2021,Banana,Whole Year,53.00,"1,178.00",22.23,22.23
6. Chhattisgarh,7. Bilaspur,2020 - 2021,Dry chillies,Whole Year,224.00,157.00,0.70,0.7
6. Chhattisgarh,7. Bilaspur,2020 - 2021,Ginger,Whole Year,2.00,3.00,1.50,1.5
6. Chhattisgarh,7. Bilaspur,2020 - 2021,Turmeric,Whole Year,10.00,12.00,1.20,1.2
6. Chhattisgarh,7. Bilaspur,2020 - 2021,Sugarcane,Whole Year,97.00,120.00,1.24,1.24
6. Chhattisgarh,7. Bilaspur,2020 - 2021,Onion,Whole Year,58.00,343.00,5.91,5.91
6. Chhattisgarh,7. Bilaspur,2020 - 2021,Sweet potato,Whole Year,13.00,117.00,9.00,9.0
6. Chhattisgarh,7. Bilaspur,2020 - 2021,Coriander,Whole Year,9.00,2.00,0.22,0.22
6. Chhattisgarh,7. Bilaspur,2020 - 2021,Cotton(lint),Whole Year,45.00,71.00,1.58,1.58
6. Chhattisgarh,7. Bilaspur,2020 - 2021,Jowar,Whole Year,5.00,8.00,1.60,1.6
6. Chhattisgarh,7. Bilaspur,2020 - 2021,Sunflower,Whole Year,5.00,3.00,0.60,0.6
6. Chhattisgarh,7. Bilaspur,2021 - 2022,Banana,Whole Year,39.00,239.00,6.13,6.13
6. Chhattisgarh,7. Bilaspur,2021 - 2022,Dry chillies,Whole Year,169.00,93.00,0.55,0.55
6. Chhattisgarh,7. Bilaspur,2021 - 2022,Ginger,Whole Year,2.00,3.00,1.50,1.5
6. Chhattisgarh,7. Bilaspur,2021 - 2022,Turmeric,Whole Year,10.00,12.00,1.20,1.2
6. Chhattisgarh,7. Bilaspur,2021 - 2022,Sugarcane,Whole Year,95.00,"3,380.00",35.58,35.58
6. Chhattisgarh,7. Bilaspur,2021 - 2022,Onion,Whole Year,36.00,278.00,7.72,7.72
6. Chhattisgarh,7. Bilaspur,2021 - 2022,Sweet potato,Whole Year,2.00,18.00,9.00,9.0
6. Chhattisgarh,7. Bilaspur,2021 - 2022,Coriander,Whole Year,64.00,17.00,0.27,0.27
6. Chhattisgarh,7. Bilaspur,2021 - 2022,Cotton(lint),Whole Year,61.00,96.00,1.57,1.57
6. Chhattisgarh,7. Bilaspur,2021 - 2022,Jowar,Whole Year,1.00,1.00,1.00,1.0
6. Chhattisgarh,7. Bilaspur,2021 - 2022,Sunflower,Whole Year,1.00,1.00,1.00,1.0
6. Chhattisgarh,7. Bilaspur,2022 - 2023,Banana,Whole Year,56.00,102.00,1.82,1.82
6. Chhattisgarh,7. Bilaspur,2022 - 2023,Dry chillies,Whole Year,114.00,63.00,0.55,0.55
6. Chhattisgarh,7. Bilaspur,2022 - 2023,Ginger,Whole Year,3.00,3.00,1.00,1.0
6. Chhattisgarh,7. Bilaspur,2022 - 2023,Turmeric,Whole Year,2.00,2.00,1.00,1.0
6. Chhattisgarh,7. Bilaspur,2022 - 2023,Sugarcane,Whole Year,50.00,62.00,1.24,1.24
6. Chhattisgarh,7. Bilaspur,2022 - 2023,Onion,Whole Year,17.00,163.00,9.59,9.59
6. Chhattisgarh,7. Bilaspur,2022 - 2023,Coriander,Whole Year,42.00,11.00,0.26,0.26
6. Chhattisgarh,7. Bilaspur,2022 - 2023,Cotton(lint),Whole Year,90.00,53.00,0.59,0.59
6. Chhattisgarh,7. Bilaspur,2022 - 2023,Jowar,Whole Year,6.00,2.00,0.33,0.33
6. Chhattisgarh,8. Dantewada,2020 - 2021,Banana,Whole Year,19.00,406.00,21.37,21.37
6. Chhattisgarh,8. Dantewada,2020 - 2021,Dry chillies,Whole Year,24.00,8.00,0.33,0.33
6. Chhattisgarh,8. Dantewada,2020 - 2021,Ginger,Whole Year,2.00,3.00,1.50,1.5
6. Chhattisgarh,8. Dantewada,2020 - 2021,Turmeric,Whole Year,12.00,10.00,0.83,0.83
6. Chhattisgarh,8. Dantewada,2020 - 2021,Sweet potato,Whole Year,20.00,106.00,5.30,5.3
6. Chhattisgarh,8. Dantewada,2020 - 2021,Coriander,Whole Year,1.00,1.00,1.00,1.0
6. Chhattisgarh,8. Dantewada,2020 - 2021,Jowar,Whole Year,11.00,18.00,1.64,1.64
6. Chhattisgarh,8. Dantewada,2021 - 2022,Banana,Whole Year,21.00,348.00,16.57,16.57
6. Chhattisgarh,8. Dantewada,2021 - 2022,Coconut,Whole Year,2.00,0.00,0.00,0.0
6. Chhattisgarh,8. Dantewada,2021 - 2022,Dry chillies,Whole Year,22.00,9.00,0.41,0.41
6. Chhattisgarh,8. Dantewada,2021 - 2022,Turmeric,Whole Year,16.00,13.00,0.81,0.81
6. Chhattisgarh,8. Dantewada,2021 - 2022,Sweet potato,Whole Year,25.00,0.00,0.00,0.0
6. Chhattisgarh,8. Dantewada,2021 - 2022,Jowar,Whole Year,12.00,11.00,0.92,0.92
6. Chhattisgarh,8. Dantewada,2021 - 2022,Cashewnut,Whole Year,3.00,0.00,0.00,0.0
6. Chhattisgarh,8. Dantewada,2022 - 2023,Banana,Whole Year,24.00,447.00,18.63,18.63
6. Chhattisgarh,8. Dantewada,2022 - 2023,Dry chillies,Whole Year,15.00,6.00,0.40,0.4
6. Chhattisgarh,8. Dantewada,2022 - 2023,Turmeric,Whole Year,10.00,11.00,1.10,1.1
6. Chhattisgarh,8. Dantewada,2022 - 2023,Sweet potato,Whole Year,13.00,72.00,5.54,5.54
6. Chhattisgarh,8. Dantewada,2022 - 2023,Jowar,Whole Year,7.00,11.00,1.57,1.57
6. Chhattisgarh,9. Dhamtari,2020 - 2021,Banana,Whole Year,35.00,383.00,10.94,10.94
6. Chhattisgarh,9. Dhamtari,2020 - 2021,Dry chillies,Whole Year,58.00,37.00,0.64,0.64
6. Chhattisgarh,9. Dhamtari,2020 - 2021,Ginger,Whole Year,4.00,6.00,1.50,1.5
6. Chhattisgarh,9. Dhamtari,2020 - 2021,Turmeric,Whole Year,1.00,2.00,2.00,2.0
6. Chhattisgarh,9. Dhamtari,2020 - 2021,Sugarcane,Whole Year,11.00,140.00,12.73,12.73
6. Chhattisgarh,9. Dhamtari,2020 - 2021,Onion,Whole Year,11.00,66.00,6.00,6.0
6. Chhattisgarh,9. Dhamtari,2020 - 2021,Sweet potato,Whole Year,9.00,54.00,6.00,6.0
6. Chhattisgarh,9. Dhamtari,2020 - 2021,Coriander,Whole Year,68.00,29.00,0.43,0.43
6. Chhattisgarh,9. Dhamtari,2020 - 2021,Jowar,Whole Year,6.00,13.00,2.17,2.17
6. Chhattisgarh,9. Dhamtari,2020 - 2021,Sunflower,Whole Year,1.00,1.00,1.00,1.0
6. Chhattisgarh,9. Dhamtari,2021 - 2022,Banana,Whole Year,53.00,"1,821.00",34.36,34.36
6. Chhattisgarh,9. Dhamtari,2021 - 2022,Dry chillies,Whole Year,121.00,87.00,0.72,0.72
6. Chhattisgarh,9. Dhamtari,2021 - 2022,Ginger,Whole Year,4.00,8.00,2.00,2.0
6. Chhattisgarh,9. Dhamtari,2021 - 2022,Turmeric,Whole Year,6.00,13.00,2.17,2.17
6. Chhattisgarh,9. Dhamtari,2021 - 2022,Sugarcane,Whole Year,14.00,240.00,17.14,17.14
6. Chhattisgarh,9. Dhamtari,2021 - 2022,Onion,Whole Year,4.00,31.00,7.75,7.75
6. Chhattisgarh,9. Dhamtari,2021 - 2022,Sweet potato,Whole Year,16.00,128.00,8.00,8.0
6. Chhattisgarh,9. Dhamtari,2021 - 2022,Coriander,Whole Year,36.00,15.00,0.42,0.42
6. Chhattisgarh,9. Dhamtari,2021 - 2022,Sunflower,Whole Year,4.00,4.00,1.00,1.0
6. Chhattisgarh,9. Dhamtari,2022 - 2023,Banana,Whole Year,50.00,"1,904.00",38.08,38.08
6. Chhattisgarh,9. Dhamtari,2022 - 2023,Dry chillies,Whole Year,121.00,98.00,0.81,0.81
6. Chhattisgarh,9. Dhamtari,2022 - 2023,Ginger,Whole Year,4.00,6.00,1.50,1.5
6. Chhattisgarh,9. Dhamtari,2022 - 2023,Turmeric,Whole Year,6.00,13.00,2.17,2.17
6. Chhattisgarh,9. Dhamtari,2022 - 2023,Sugarcane,Whole Year,14.00,33.00,2.36,2.36
6. Chhattisgarh,9. Dhamtari,2022 - 2023,Onion,Whole Year,4.00,38.00,9.50,9.5
6. Chhattisgarh,9. Dhamtari,2022 - 2023,Sweet potato,Whole Year,16.00,104.00,6.50,6.5
6. Chhattisgarh,9. Dhamtari,2022 - 2023,Coriander,Whole Year,36.00,18.00,0.50,0.5
